filename,species_label,scientific_name,taxon_id,observation_id,photo_id,observer,observed_on,latitude,longitude,photo_url,license,taxon_name
data\reference\pterois_miles\pterois_miles_004.jpg,pterois_miles,Pterois miles,123459,388988546,712498911,pavel_2,2026-08-07,35.3184499,25.5643842,https://inaturalist-open-data.s3.amazonaws.com/photos/712498911/large.jpg,cc-by-nc,Pterois miles
data\reference\pterois_miles\pterois_miles_005.jpg,pterois_miles,Pterois miles,123459,388984994,712491539,katchristian,2025-09-25,24.0853042161,37.8892587887,https://inaturalist-open-data.s3.amazonaws.com/photos/712491539/large.jpg,cc-by-nc,Pterois miles
data\reference\pterois_miles\pterois_miles_006.jpg,pterois_miles,Pterois miles,123459,388838506,712199695,federico_latini,2026-08-06,35.0212058889,26.0146770278,https://static.inaturalist.org/photos/712199695/large.jpg,,Pterois miles
data\reference\pterois_miles\pterois_miles_007.jpg,pterois_miles,Pterois miles,123459,388806453,712136928,federico_latini,2026-08-05,35.0338706944,25.992712,https://static.inaturalist.org/photos/712136928/large.jpg,,Pterois miles
data\reference\pterois_miles\pterois_miles_008.jpg,pterois_miles,Pterois miles,123459,388761685,712049801,rhooseboy,2026-08-06,36.6032057016,29.0298817268,https://inaturalist-open-data.s3.amazonaws.com/photos/712049801/large.jpg,cc-by-nc,Pterois miles
data\reference\pterois_miles\pterois_miles_009.jpg,pterois_miles,Pterois miles,123459,388753225,712034891,biologistmarina,2026-08-06,34.9837727152,34.070731489,https://inaturalist-open-data.s3.amazonaws.com/photos/712034891/large.jpg,cc-by-nc-nd,Pterois miles
data\reference\pterois_miles\pterois_miles_010.jpg,pterois_miles,Pterois miles,123459,388577279,711691186,francescocecere,2026-07-28,36.5737034889,26.3761764894,https://inaturalist-open-data.s3.amazonaws.com/photos/711691186/large.jpg,cc0,Pterois miles
data\reference\scorpaena_plumieri\scorpaena_plumieri_001.jpg,scorpaena_plumieri,Scorpaena plumieri,49244,388616600,711761159,bender13,2026-08-05,11.3287306321,-60.549553312,https://inaturalist-open-data.s3.amazonaws.com/photos/711761159/large.jpg,cc-by,Scorpaena plumieri
data\reference\scorpaena_plumieri\scorpaena_plumieri_002.jpg,scorpaena_plumieri,Scorpaena plumieri,49244,388609814,711752889,bender13,2026-08-05,11.3294896891,-60.5500960406,https://inaturalist-open-data.s3.amazonaws.com/photos/711752889/large.jpg,cc-by,Scorpaena plumieri
data\reference\scorpaena_plumieri\scorpaena_plumieri_003.jpg,scorpaena_plumieri,Scorpaena plumieri,49244,388463380,711469370,duncan_m_013,2026-08-01,26.7912486293,-80.0318853273,https://inaturalist-open-data.s3.amazonaws.com/photos/711469370/large.jpg,cc-by-nc,Scorpaena plumieri
data\reference\scorpaena_plumieri\scorpaena_plumieri_004.jpg,scorpaena_plumieri,Scorpaena plumieri,49244,387671988,709897420,michael_cantillo,2026-05-28,11.3137715465,-74.1994272789,https://inaturalist-open-data.s3.amazonaws.com/photos/709897420/large.jpg,cc-by,Scorpaena plumieri
data\reference\scorpaena_plumieri\scorpaena_plumieri_005.jpg,scorpaena_plumieri,Scorpaena plumieri,49244,387671980,709895651,michael_cantillo,2026-05-28,11.3137715465,-74.1994272789,https://inaturalist-open-data.s3.amazonaws.com/photos/709895651/large.jpg,cc-by,Scorpaena plumieri
data\reference\scorpaena_plumieri\scorpaena_plumieri_006.jpg,scorpaena_plumieri,Scorpaena plumieri,49244,387580143,709723126,michael_cantillo,2026-05-04,11.3287082559,-74.1095615662,https://inaturalist-open-data.s3.amazonaws.com/photos/709723126/large.jpg,cc-by,Scorpaena plumieri
data\reference\scorpaena_plumieri\scorpaena_plumieri_007.jpg,scorpaena_plumieri,Scorpaena plumieri,49244,386629092,707913110,sebastian_hb,2026-07-23,20.5762692823,-87.1185360476,https://inaturalist-open-data.s3.amazonaws.com/photos/707913110/large.jpg,cc-by,Scorpaena plumieri
data\reference\scorpaena_plumieri\scorpaena_plumieri_008.jpg,scorpaena_plumieri,Scorpaena plumieri,49244,386342542,707363708,naturegoody,2026-07-24,12.3181783333,-69.1509305,https://inaturalist-open-data.s3.amazonaws.com/photos/707363708/large.jpg,cc-by-nc,Scorpaena plumieri
data\reference\scorpaena_plumieri\scorpaena_plumieri_009.jpg,scorpaena_plumieri,Scorpaena plumieri,49244,386279965,707225841,tourbi3r3,2026-07-24,16.4228768,-61.5332644,https://inaturalist-open-data.s3.amazonaws.com/photos/707225841/large.jpg,cc-by-nc,Scorpaena plumieri
data\reference\scorpaena_plumieri\scorpaena_plumieri_010.jpg,scorpaena_plumieri,Scorpaena plumieri,49244,385780311,706279694,kibriskid,2026-07-27,17.7501880783,-64.8924190924,https://inaturalist-open-data.s3.amazonaws.com/photos/706279694/large.jpg,cc-by-nc,Scorpaena plumieri
data\reference\sparisoma_viride\sparisoma_viride_001.jpg,sparisoma_viride,Sparisoma viride,112867,389215476,712915551,a_yellow_flower_in_april,2026-08-05,18.4570250065,-66.0802755877,https://static.inaturalist.org/photos/712915551/large.jpg,,Sparisoma viride
data\reference\sparisoma_viride\sparisoma_viride_002.jpg,sparisoma_viride,Sparisoma viride,112867,388851525,712225831,audreycady,2026-08-01,25.1218296047,-80.278452558,https://inaturalist-open-data.s3.amazonaws.com/photos/712225831/large.jpg,cc-by-nc,Sparisoma viride
data\reference\sparisoma_viride\sparisoma_viride_003.jpg,sparisoma_viride,Sparisoma viride,112867,388827478,712177550,lukeknutson9,2026-07-24,25.1378412436,-80.2888943498,https://static.inaturalist.org/photos/712177550/large.jpg,,Sparisoma viride
data\reference\sparisoma_viride\sparisoma_viride_004.jpg,sparisoma_viride,Sparisoma viride,112867,388827406,712165784,lukeknutson9,2026-07-24,25.137839819,-80.2888943498,https://static.inaturalist.org/photos/712165784/large.jpg,,Sparisoma viride
data\reference\sparisoma_viride\sparisoma_viride_005.jpg,sparisoma_viride,Sparisoma viride,112867,388827362,712159961,lukeknutson9,2026-07-24,25.1376780833,-80.2891407778,https://static.inaturalist.org/photos/712159961/large.jpg,,Sparisoma viride
data\reference\sparisoma_viride\sparisoma_viride_006.jpg,sparisoma_viride,Sparisoma viride,112867,388793675,712110983,jbrasher,2024-09-16,12.1671535609,-68.287914531,https://inaturalist-open-data.s3.amazonaws.com/photos/712110983/large.jpg,cc-by,Sparisoma viride
data\reference\sparisoma_viride\sparisoma_viride_007.jpg,sparisoma_viride,Sparisoma viride,112867,388768516,712063471,thea_bee,2026-08-06,12.462766484,-69.9685184449,https://static.inaturalist.org/photos/712063471/large.jpg,,Sparisoma viride
data\reference\sparisoma_viride\sparisoma_viride_008.jpg,sparisoma_viride,Sparisoma viride,112867,388742600,712013734,amelia31623,2026-08-01,25.1363681912,-80.2928653119,https://inaturalist-open-data.s3.amazonaws.com/photos/712013734/large.jpg,cc-by-nc,Sparisoma viride
data\reference\sparisoma_viride\sparisoma_viride_009.jpg,sparisoma_viride,Sparisoma viride,112867,388503400,610755835,oliverkomar,2026-01-02,16.2749791549,-86.6021581374,https://inaturalist-open-data.s3.amazonaws.com/photos/610755835/large.jpg,cc-by-nc,Sparisoma viride
data\reference\sparisoma_viride\sparisoma_viride_010.jpg,sparisoma_viride,Sparisoma viride,112867,388297966,711142644,jacob_brisson,2026-05-13,19.2899633333,-81.38395,https://static.inaturalist.org/photos/711142644/large.jpg,,Sparisoma viride
