filename,species_label,scientific_name,taxon_id,observation_id,photo_url
data\unknown_species_testset\hippocampus_erectus\hippocampus_erectus_006.jpg,hippocampus_erectus,Hippocampus erectus,54540,387261462,https://inaturalist-open-data.s3.amazonaws.com/photos/709122066/large.jpg
data\unknown_species_testset\hippocampus_erectus\hippocampus_erectus_007.jpg,hippocampus_erectus,Hippocampus erectus,54540,386834111,https://inaturalist-open-data.s3.amazonaws.com/photos/708306128/large.jpg
data\unknown_species_testset\hippocampus_erectus\hippocampus_erectus_008.jpg,hippocampus_erectus,Hippocampus erectus,54540,386756736,https://static.inaturalist.org/photos/708153440/large.jpg
data\unknown_species_testset\hippocampus_erectus\hippocampus_erectus_009.jpg,hippocampus_erectus,Hippocampus erectus,54540,386557419,https://inaturalist-open-data.s3.amazonaws.com/photos/707780462/large.jpg
data\unknown_species_testset\hippocampus_erectus\hippocampus_erectus_010.jpg,hippocampus_erectus,Hippocampus erectus,54540,386045107,https://static.inaturalist.org/photos/706795532/large.jpg
data\unknown_species_testset\octopus_briareus\octopus_briareus_001.jpg,octopus_briareus,Octopus briareus,253681,389332232,https://inaturalist-open-data.s3.amazonaws.com/photos/713140096/large.jpg
data\unknown_species_testset\octopus_briareus\octopus_briareus_002.jpg,octopus_briareus,Octopus briareus,253681,386189997,https://inaturalist-open-data.s3.amazonaws.com/photos/707076189/large.jpg
data\unknown_species_testset\octopus_briareus\octopus_briareus_003.jpg,octopus_briareus,Octopus briareus,253681,385251867,https://static.inaturalist.org/photos/705278493/large.jpg
data\unknown_species_testset\octopus_briareus\octopus_briareus_004.jpg,octopus_briareus,Octopus briareus,253681,384122565,https://inaturalist-open-data.s3.amazonaws.com/photos/703102352/large.jpg
data\unknown_species_testset\octopus_briareus\octopus_briareus_005.jpg,octopus_briareus,Octopus briareus,253681,383498556,https://inaturalist-open-data.s3.amazonaws.com/photos/701910588/large.jpg
data\unknown_species_testset\octopus_briareus\octopus_briareus_006.jpg,octopus_briareus,Octopus briareus,253681,383070281,https://inaturalist-open-data.s3.amazonaws.com/photos/701079091/large.jpg
data\unknown_species_testset\octopus_briareus\octopus_briareus_007.jpg,octopus_briareus,Octopus briareus,253681,383070267,https://inaturalist-open-data.s3.amazonaws.com/photos/701079036/large.jpg
data\unknown_species_testset\octopus_briareus\octopus_briareus_008.jpg,octopus_briareus,Octopus briareus,253681,382162732,https://inaturalist-open-data.s3.amazonaws.com/photos/699343521/large.jpg
data\unknown_species_testset\octopus_briareus\octopus_briareus_009.jpg,octopus_briareus,Octopus briareus,253681,381797648,https://inaturalist-open-data.s3.amazonaws.com/photos/698639608/large.jpg
data\unknown_species_testset\octopus_briareus\octopus_briareus_010.jpg,octopus_briareus,Octopus briareus,253681,380923477,https://inaturalist-open-data.s3.amazonaws.com/photos/696945111/large.jpg
data\unknown_species_testset\ginglymostoma_cirratum\ginglymostoma_cirratum_001.jpg,ginglymostoma_cirratum,Ginglymostoma cirratum,49964,389438910,https://inaturalist-open-data.s3.amazonaws.com/photos/713345198/large.jpg
data\unknown_species_testset\ginglymostoma_cirratum\ginglymostoma_cirratum_002.jpg,ginglymostoma_cirratum,Ginglymostoma cirratum,49964,389414416,https://inaturalist-open-data.s3.amazonaws.com/photos/713297451/large.jpg
data\unknown_species_testset\ginglymostoma_cirratum\ginglymostoma_cirratum_003.jpg,ginglymostoma_cirratum,Ginglymostoma cirratum,49964,389330660,https://inaturalist-open-data.s3.amazonaws.com/photos/713135833/large.jpg
data\unknown_species_testset\ginglymostoma_cirratum\ginglymostoma_cirratum_004.jpg,ginglymostoma_cirratum,Ginglymostoma cirratum,49964,389330637,https://inaturalist-open-data.s3.amazonaws.com/photos/713135579/large.jpg
data\unknown_species_testset\ginglymostoma_cirratum\ginglymostoma_cirratum_005.jpg,ginglymostoma_cirratum,Ginglymostoma cirratum,49964,389330635,https://inaturalist-open-data.s3.amazonaws.com/photos/713135572/large.jpg
data\unknown_species_testset\ginglymostoma_cirratum\ginglymostoma_cirratum_006.jpg,ginglymostoma_cirratum,Ginglymostoma cirratum,49964,389187367,https://static.inaturalist.org/photos/712856653/large.jpg
data\unknown_species_testset\ginglymostoma_cirratum\ginglymostoma_cirratum_007.jpg,ginglymostoma_cirratum,Ginglymostoma cirratum,49964,389177323,https://inaturalist-open-data.s3.amazonaws.com/photos/712839089/large.jpg
data\unknown_species_testset\ginglymostoma_cirratum\ginglymostoma_cirratum_008.jpg,ginglymostoma_cirratum,Ginglymostoma cirratum,49964,389038639,https://inaturalist-open-data.s3.amazonaws.com/photos/712568260/large.jpg
data\unknown_species_testset\ginglymostoma_cirratum\ginglymostoma_cirratum_009.jpg,ginglymostoma_cirratum,Ginglymostoma cirratum,49964,388986795,https://inaturalist-open-data.s3.amazonaws.com/photos/712495371/large.jpg
data\unknown_species_testset\ginglymostoma_cirratum\ginglymostoma_cirratum_010.jpg,ginglymostoma_cirratum,Ginglymostoma cirratum,49964,388848812,https://inaturalist-open-data.s3.amazonaws.com/photos/712219551/large.jpg
data\unknown_species_testset\haemulon_flavolineatum\haemulon_flavolineatum_001.jpg,haemulon_flavolineatum,Haemulon flavolineatum,62600,389035613,https://inaturalist-open-data.s3.amazonaws.com/photos/712562667/large.jpg
data\unknown_species_testset\haemulon_flavolineatum\haemulon_flavolineatum_002.jpg,haemulon_flavolineatum,Haemulon flavolineatum,62600,388893380,https://static.inaturalist.org/photos/712310501/large.jpg
data\unknown_species_testset\haemulon_flavolineatum\haemulon_flavolineatum_003.jpg,haemulon_flavolineatum,Haemulon flavolineatum,62600,388827374,https://static.inaturalist.org/photos/712161733/large.jpg
data\unknown_species_testset\haemulon_flavolineatum\haemulon_flavolineatum_004.jpg,haemulon_flavolineatum,Haemulon flavolineatum,62600,388655309,https://inaturalist-open-data.s3.amazonaws.com/photos/711843430/large.jpg
data\unknown_species_testset\haemulon_flavolineatum\haemulon_flavolineatum_005.jpg,haemulon_flavolineatum,Haemulon flavolineatum,62600,388655306,https://inaturalist-open-data.s3.amazonaws.com/photos/711842721/large.jpg
data\unknown_species_testset\haemulon_flavolineatum\haemulon_flavolineatum_006.jpg,haemulon_flavolineatum,Haemulon flavolineatum,62600,388605479,https://inaturalist-open-data.s3.amazonaws.com/photos/711745741/large.jpg
data\unknown_species_testset\haemulon_flavolineatum\haemulon_flavolineatum_007.jpg,haemulon_flavolineatum,Haemulon flavolineatum,62600,388368103,https://inaturalist-open-data.s3.amazonaws.com/photos/711282924/large.jpg
data\unknown_species_testset\haemulon_flavolineatum\haemulon_flavolineatum_008.jpg,haemulon_flavolineatum,Haemulon flavolineatum,62600,388148249,https://inaturalist-open-data.s3.amazonaws.com/photos/710651101/large.jpg
data\unknown_species_testset\haemulon_flavolineatum\haemulon_flavolineatum_009.jpg,haemulon_flavolineatum,Haemulon flavolineatum,62600,388148241,https://inaturalist-open-data.s3.amazonaws.com/photos/710651004/large.jpg
data\unknown_species_testset\haemulon_flavolineatum\haemulon_flavolineatum_010.jpg,haemulon_flavolineatum,Haemulon flavolineatum,62600,387952759,https://inaturalist-open-data.s3.amazonaws.com/photos/710420287/large.jpg
