filename,species_label,scientific_name,taxon_id,observation_id,photo_id,observer,observed_on,latitude,longitude,photo_url,license
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0028.jpg,pterois_volitans,Pterois volitans,47280,387398417,709387427,michael_cantillo,2024-07-10,10.1697267,-75.6568053159,https://inaturalist-open-data.s3.amazonaws.com/photos/709387427/large.jpg,cc-by
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0029.jpg,pterois_volitans,Pterois volitans,47280,387373056,709332239,jonaull,2026-08-01,28.4058751679,129.4967432346,https://inaturalist-open-data.s3.amazonaws.com/photos/709332239/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0030.jpg,pterois_volitans,Pterois volitans,47280,387057614,708712098,spirula,2026-07-29,19.3837727909,-81.4173769511,https://inaturalist-open-data.s3.amazonaws.com/photos/708712098/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0031.jpg,pterois_volitans,Pterois volitans,47280,386907763,708445504,mantaraylove,2026-07-31,12.1241798469,-68.972235025,https://inaturalist-open-data.s3.amazonaws.com/photos/708445504/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0032.jpg,pterois_volitans,Pterois volitans,47280,386907376,708444594,mantaraylove,2026-07-31,12.2346169316,-69.1032493436,https://inaturalist-open-data.s3.amazonaws.com/photos/708444594/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0033.jpg,pterois_volitans,Pterois volitans,47280,386907350,708444523,mantaraylove,2026-07-31,12.3140977211,-69.152201872,https://inaturalist-open-data.s3.amazonaws.com/photos/708444523/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0034.jpg,pterois_volitans,Pterois volitans,47280,386895574,708418108,mael_andrieux,2026-07-30,16.1642825124,-61.3787117161,https://inaturalist-open-data.s3.amazonaws.com/photos/708418108/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0035.jpg,pterois_volitans,Pterois volitans,47280,386895546,708405316,mael_andrieux,2026-07-25,15.950894345,-61.7102423421,https://inaturalist-open-data.s3.amazonaws.com/photos/708405316/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0036.jpg,pterois_volitans,Pterois volitans,47280,386845614,708327076,riki_paleatus,2026-07-31,-27.4738102323,153.4154625993,https://inaturalist-open-data.s3.amazonaws.com/photos/708327076/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0037.jpg,pterois_volitans,Pterois volitans,47280,386837887,708311755,chugnin,2026-07-06,1.4807975545,125.2521107115,https://static.inaturalist.org/photos/708311755/large.jpg,
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0038.jpg,pterois_volitans,Pterois volitans,47280,386821418,708279225,chugnin,2026-06-28,1.6053361395,124.7674497943,https://static.inaturalist.org/photos/708279225/large.jpg,
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0039.jpg,pterois_volitans,Pterois volitans,47280,386815845,708270082,viviroceania,2026-07-30,-32.1379744085,115.7442251698,https://inaturalist-open-data.s3.amazonaws.com/photos/708270082/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0040.jpg,pterois_volitans,Pterois volitans,47280,386788883,708217706,mantaraylove,2026-07-31,12.3237304971,-69.1557235767,https://inaturalist-open-data.s3.amazonaws.com/photos/708217706/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0041.jpg,pterois_volitans,Pterois volitans,47280,386788782,708217414,mantaraylove,2026-07-31,12.2634954376,-69.1262649917,https://inaturalist-open-data.s3.amazonaws.com/photos/708217414/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0042.jpg,pterois_volitans,Pterois volitans,47280,386784026,708206979,riseoftheturtles,2017-10-25,-28.1964935803,153.578708476,https://inaturalist-open-data.s3.amazonaws.com/photos/708206979/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0043.jpg,pterois_volitans,Pterois volitans,47280,386678385,707974889,myrrel,2026-07-12,9.9837079498,123.3704413658,https://inaturalist-open-data.s3.amazonaws.com/photos/707974889/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0044.jpg,pterois_volitans,Pterois volitans,47280,386630234,707915081,sebastian_hb,2026-07-24,20.5737644415,-87.1173397824,https://inaturalist-open-data.s3.amazonaws.com/photos/707915081/large.jpg,cc-by
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0045.jpg,pterois_volitans,Pterois volitans,47280,386520909,707708789,albeer23,2026-07-22,-14.8874263359,145.6981014596,https://static.inaturalist.org/photos/707708789/large.jpg,
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0046.jpg,pterois_volitans,Pterois volitans,47280,386510210,707688099,albeer23,2026-07-17,-14.8874263359,145.6981014596,https://static.inaturalist.org/photos/707688099/large.jpg,
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0047.jpg,pterois_volitans,Pterois volitans,47280,386464760,707595481,romanbranchereau,2026-07-07,-16.0800253981,-145.7149985909,https://static.inaturalist.org/photos/707595481/large.jpg,
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0048.jpg,pterois_volitans,Pterois volitans,47280,386421148,707512168,wild___max,2026-07-27,18.009981498,-63.0064653625,https://inaturalist-open-data.s3.amazonaws.com/photos/707512168/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0049.jpg,pterois_volitans,Pterois volitans,47280,386336580,707351877,naturegoody,2026-07-24,12.341205,-69.1527555,https://inaturalist-open-data.s3.amazonaws.com/photos/707351877/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0050.jpg,pterois_volitans,Pterois volitans,47280,386326527,707326492,carlosvillaola,2026-07-22,19.236409,-96.07056,https://inaturalist-open-data.s3.amazonaws.com/photos/707326492/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0051.jpg,pterois_volitans,Pterois volitans,47280,386236198,707164743,midlifecrustaceans,2026-07-29,-18.6119915862,146.4849537984,https://static.inaturalist.org/photos/707164743/large.jpg,
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0052.jpg,pterois_volitans,Pterois volitans,47280,386209209,707112446,maxdebeer,2026-07-29,-8.7251803136,157.3999638953,https://inaturalist-open-data.s3.amazonaws.com/photos/707112446/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0053.jpg,pterois_volitans,Pterois volitans,47280,386156259,707010577,vx-jameer,2026-07-04,10.7786402717,-61.3970866674,https://static.inaturalist.org/photos/707010577/large.jpg,
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0054.jpg,pterois_volitans,Pterois volitans,47280,386058646,706821682,agent_13,2026-07-27,17.7504090443,-64.8922819644,https://inaturalist-open-data.s3.amazonaws.com/photos/706821682/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0055.jpg,pterois_volitans,Pterois volitans,47280,385987859,706679064,tmenut,2026-07-15,9.923890103,123.3430543902,https://inaturalist-open-data.s3.amazonaws.com/photos/706679064/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0056.jpg,pterois_volitans,Pterois volitans,47280,385969061,706641120,tmenut,2026-07-09,9.9805282248,123.3689538364,https://inaturalist-open-data.s3.amazonaws.com/photos/706641120/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0057.jpg,pterois_volitans,Pterois volitans,47280,385959432,706632693,masterreefpanda,2026-07-27,-23.4421824279,151.9137683138,https://static.inaturalist.org/photos/706632693/large.jpg,
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0058.jpg,pterois_volitans,Pterois volitans,47280,385878267,706475898,jmjb,2026-07-28,-18.4088042099,178.0898650024,https://inaturalist-open-data.s3.amazonaws.com/photos/706475898/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0059.jpg,pterois_volitans,Pterois volitans,47280,385872625,706465770,ryanzichengxu,2026-07-28,4.246245,118.637305,https://inaturalist-open-data.s3.amazonaws.com/photos/706465770/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0060.jpg,pterois_volitans,Pterois volitans,47280,385857124,706433077,zvakanaka,2026-07-23,-8.3667,119.5833,https://inaturalist-open-data.s3.amazonaws.com/photos/706433077/large.jpg,cc-by-nc-sa
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0061.jpg,pterois_volitans,Pterois volitans,47280,385856142,706427710,flyingember,2026-07-23,18.0003166667,-87.9079222222,https://inaturalist-open-data.s3.amazonaws.com/photos/706427710/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0062.jpg,pterois_volitans,Pterois volitans,47280,385820724,706341396,spirula,2026-07-26,19.3091009401,-81.3912683726,https://inaturalist-open-data.s3.amazonaws.com/photos/706341396/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0063.jpg,pterois_volitans,Pterois volitans,47280,385807983,706335954,raphael95230,2025-07-27,18.4953743805,-77.6022511068,https://inaturalist-open-data.s3.amazonaws.com/photos/706335954/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0064.jpg,pterois_volitans,Pterois volitans,47280,385645719,706019283,amiladg,2025-05-03,9.169123,123.249776,https://inaturalist-open-data.s3.amazonaws.com/photos/706019283/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0065.jpg,pterois_volitans,Pterois volitans,47280,385645718,706019276,amiladg,2025-05-03,9.169123,123.249776,https://inaturalist-open-data.s3.amazonaws.com/photos/706019276/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0066.jpg,pterois_volitans,Pterois volitans,47280,385618264,705973234,hardyhancock,2026-06-30,2.1351572308,118.5043478739,https://inaturalist-open-data.s3.amazonaws.com/photos/705973234/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0067.jpg,pterois_volitans,Pterois volitans,47280,385613391,705966710,hugoism,2026-07-27,13.7582663539,120.9089185548,https://inaturalist-open-data.s3.amazonaws.com/photos/705966710/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0068.jpg,pterois_volitans,Pterois volitans,47280,385496485,705730496,spirula,2026-07-26,19.2586419193,-81.3855827181,https://inaturalist-open-data.s3.amazonaws.com/photos/705730496/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0069.jpg,pterois_volitans,Pterois volitans,47280,385421610,705595593,jyunebug,2026-07-14,20.3881916667,-87.0401111667,https://static.inaturalist.org/photos/705595593/large.jpg,
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0070.jpg,pterois_volitans,Pterois volitans,47280,385420984,705594151,jyunebug,2026-07-14,20.3881916667,-87.0401111667,https://static.inaturalist.org/photos/705594151/large.jpg,
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0071.jpg,pterois_volitans,Pterois volitans,47280,385253534,705285142,raphael95230,2026-07-25,18.4426737706,-77.9458771273,https://inaturalist-open-data.s3.amazonaws.com/photos/705285142/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0072.jpg,pterois_volitans,Pterois volitans,47280,385227405,705244780,ivansls,2015-06-22,-8.4769070786,125.9079291138,https://inaturalist-open-data.s3.amazonaws.com/photos/705244780/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0073.jpg,pterois_volitans,Pterois volitans,47280,385188687,705169943,masterreefpanda,2026-07-26,-23.44218858,151.9138051942,https://static.inaturalist.org/photos/705169943/large.jpg,
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0074.jpg,pterois_volitans,Pterois volitans,47280,385007953,704796252,spirula,2026-07-24,19.3996327147,-81.3885352166,https://inaturalist-open-data.s3.amazonaws.com/photos/704796252/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0075.jpg,pterois_volitans,Pterois volitans,47280,385007951,704796230,spirula,2026-07-24,19.3996369914,-81.3885149778,https://inaturalist-open-data.s3.amazonaws.com/photos/704796230/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0076.jpg,pterois_volitans,Pterois volitans,47280,385007909,704795464,spirula,2026-07-24,19.3990277805,-81.3895939946,https://inaturalist-open-data.s3.amazonaws.com/photos/704795464/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0077.jpg,pterois_volitans,Pterois volitans,47280,385007906,704795471,spirula,2026-07-24,19.3990237958,-81.3895926535,https://inaturalist-open-data.s3.amazonaws.com/photos/704795471/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0078.jpg,pterois_volitans,Pterois volitans,47280,385004189,704808751,mhenning23,2015-12-22,24.7430716667,-80.8764833333,https://inaturalist-open-data.s3.amazonaws.com/photos/704808751/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0079.jpg,pterois_volitans,Pterois volitans,47280,384992403,704676701,spirula,2026-07-24,19.4001172845,-81.3894013061,https://inaturalist-open-data.s3.amazonaws.com/photos/704676701/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0080.jpg,pterois_volitans,Pterois volitans,47280,384992386,704676502,spirula,2026-07-24,19.4002133194,-81.3896422223,https://inaturalist-open-data.s3.amazonaws.com/photos/704676502/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0081.jpg,pterois_volitans,Pterois volitans,47280,384992176,704675316,spirula,2026-07-24,19.3997713933,-81.3903525729,https://inaturalist-open-data.s3.amazonaws.com/photos/704675316/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0082.jpg,pterois_volitans,Pterois volitans,47280,384992100,704675109,spirula,2026-07-24,19.3997979575,-81.3903782216,https://inaturalist-open-data.s3.amazonaws.com/photos/704675109/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0083.jpg,pterois_volitans,Pterois volitans,47280,384959207,704719815,sylvielouisy,2026-07-11,9.9812372242,123.3698332837,https://inaturalist-open-data.s3.amazonaws.com/photos/704719815/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0084.jpg,pterois_volitans,Pterois volitans,47280,384959202,704719799,sylvielouisy,2026-07-13,9.9812372242,123.3698332837,https://inaturalist-open-data.s3.amazonaws.com/photos/704719799/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0085.jpg,pterois_volitans,Pterois volitans,47280,384920072,704628164,spirula,2026-07-23,19.3964283756,-81.3963789333,https://inaturalist-open-data.s3.amazonaws.com/photos/704628164/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0086.jpg,pterois_volitans,Pterois volitans,47280,384920068,704628170,spirula,2026-07-23,19.3964169907,-81.3963722278,https://inaturalist-open-data.s3.amazonaws.com/photos/704628170/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0087.jpg,pterois_volitans,Pterois volitans,47280,384671806,704171092,sultana,2026-07-24,9.4415310183,-79.7791010974,https://inaturalist-open-data.s3.amazonaws.com/photos/704171092/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0088.jpg,pterois_volitans,Pterois volitans,47280,384630529,704091043,wild___max,2026-07-21,18.013609974,-63.060812719,https://inaturalist-open-data.s3.amazonaws.com/photos/704091043/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0089.jpg,pterois_volitans,Pterois volitans,47280,384630517,704090966,wild___max,2026-07-21,18.013609974,-63.060812719,https://inaturalist-open-data.s3.amazonaws.com/photos/704090966/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0090.jpg,pterois_volitans,Pterois volitans,47280,384630516,704090934,wild___max,2026-07-21,18.013609974,-63.060812719,https://inaturalist-open-data.s3.amazonaws.com/photos/704090934/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0091.jpg,pterois_volitans,Pterois volitans,47280,384630510,704090881,wild___max,2026-07-21,18.013609974,-63.060812719,https://inaturalist-open-data.s3.amazonaws.com/photos/704090881/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0092.jpg,pterois_volitans,Pterois volitans,47280,384630506,704090879,wild___max,2026-07-21,18.013609974,-63.060812719,https://inaturalist-open-data.s3.amazonaws.com/photos/704090879/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0093.jpg,pterois_volitans,Pterois volitans,47280,384476083,703792445,luke-b-stribling,2026-07-18,34.8689999403,139.1037976609,https://inaturalist-open-data.s3.amazonaws.com/photos/703792445/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0094.jpg,pterois_volitans,Pterois volitans,47280,384471077,703777302,luke-b-stribling,2026-07-19,34.8689999403,139.1037976609,https://inaturalist-open-data.s3.amazonaws.com/photos/703777302/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0095.jpg,pterois_volitans,Pterois volitans,47280,384471070,703777222,luke-b-stribling,2026-07-19,34.8689999403,139.1037976609,https://inaturalist-open-data.s3.amazonaws.com/photos/703777222/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0096.jpg,pterois_volitans,Pterois volitans,47280,384438378,703712332,spirula,2026-07-20,19.3856270755,-81.4166348409,https://inaturalist-open-data.s3.amazonaws.com/photos/703712332/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0097.jpg,pterois_volitans,Pterois volitans,47280,384189824,703246085,charlieglass,2015-01-04,-17.7087577388,177.1195692885,https://inaturalist-open-data.s3.amazonaws.com/photos/703246085/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0098.jpg,pterois_volitans,Pterois volitans,47280,383854958,702599734,neassa1800,2026-07-22,-18.0549965389,177.2866231572,https://inaturalist-open-data.s3.amazonaws.com/photos/702599734/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0099.jpg,pterois_volitans,Pterois volitans,47280,383815110,702517485,ailynnsofy,2026-02-25,20.3166127767,-87.0456168334,https://inaturalist-open-data.s3.amazonaws.com/photos/702517485/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_volitans\pterois_volitans_0100.jpg,pterois_volitans,Pterois volitans,47280,383798395,702487815,dwmullins,2026-07-17,17.7547351519,-64.6851567032,https://inaturalist-open-data.s3.amazonaws.com/photos/702487815/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_miles\pterois_miles_0001.jpg,pterois_miles,Pterois miles,123459,389356638,713186359,invertebratelover1347,2026-07-23,26.2058606735,34.2209802117,https://inaturalist-open-data.s3.amazonaws.com/photos/713186359/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_miles\pterois_miles_0002.jpg,pterois_miles,Pterois miles,123459,389335402,713146220,amberstjames,2026-08-07,-27.5182934403,32.7241794373,https://inaturalist-open-data.s3.amazonaws.com/photos/713146220/large.jpg,cc-by-nc
data\pterois_dataset\raw\pterois_miles\pterois_miles_0003.jpg,pterois_miles,Pterois miles,123459,389285921,713051697,biologistmarina,2026-08-08,34.986095,34.0729221667,https://inaturalist-open-data.s3.amazonaws.com/photos/713051697/large.jpg,cc-by-nc-nd
data\pterois_dataset\raw\pterois_miles\pterois_miles_0004.jpg,pterois_miles,Pterois miles,123459,389275384,713029782,francescocecere,2026-08-03,36.5282720322,26.3541529604,https://inaturalist-open-data.s3.amazonaws.com/photos/713029782/large.jpg,cc0
data\pterois_dataset\raw\pterois_miles\pterois_miles_0005.jpg,pterois_miles,Pterois miles,123459,388988546,712498911,pavel_2,2026-08-07,35.3184499,25.5643842,https://inaturalist-open-data.s3.amazonaws.com/photos/712498911/large.jpg,cc-by-nc
